,title,url,date,tag,scraped,collections,text,subheadings,image_urls
32,Wat wil de koe nou eigenlijk zelf?,https://www.volkskrant.nl/nieuws-achtergrond/wat-wil-de-koe-nou-eigenlijk-zelf~b2e6bad5/,2017-10-06,Nieuws & Achtergrond,False,,,,
33,Nederlandse kennisinstellingen gaan overheden adviseren: 'Betere wapens tegen klimaatverandering nodig',https://www.volkskrant.nl/nieuws-achtergrond/nederlandse-kennisinstellingen-gaan-overheden-adviseren-betere-wapens-tegen-klimaatverandering-nodig~b7317a24/,2017-08-31,Voorpagina,False,,,,
34,Is groene parkbrug in Seoul begin van wereldwijde radicale stadsvernieuwing?,https://www.volkskrant.nl/cultuur-media/is-groene-parkbrug-in-seoul-begin-van-wereldwijde-radicale-stadsvernieuwing~b934f27e/,2017-05-26,Cultuur & Media,False,,,,
35,Nieuwe Europese satelliet gelanceerd die Aarde observeert,https://www.volkskrant.nl/wetenschap/nieuwe-europese-satelliet-gelanceerd-die-aarde-observeert~b3946b25/,2016-02-16,Voorpagina,False,,,,
36,De consequenties van peentjes zweten in de winter,https://www.volkskrant.nl/nieuws-achtergrond/de-consequenties-van-peentjes-zweten-in-de-winter~bfb806b9/,2015-12-30,Nieuws & Achtergrond,False,,,,
37,Hittestress voorkomen? Check de digitale hittekaart,https://www.volkskrant.nl/wetenschap/hittestress-voorkomen-check-de-digitale-hittekaart~b7b93320/,2015-12-14,Voorpagina,False,,,,
38,Elke sector krijgt de hittemaatregelen die het verdient,https://www.volkskrant.nl/nieuws-achtergrond/elke-sector-krijgt-de-hittemaatregelen-die-het-verdient~b3fbe42b/,2015-07-03,Nieuws & Achtergrond,False,,,,
39,Waarom de ene 37 graden de andere niet is,https://www.volkskrant.nl/nieuws-achtergrond/waarom-de-ene-37-graden-de-andere-niet-is~b33a53f8/,2015-07-02,Nieuws & Achtergrond,False,,,,
40,Universiteit zet 30 weerstations in Amsterdam,https://www.volkskrant.nl/nieuws-achtergrond/universiteit-zet-30-weerstations-in-amsterdam~b2ed3f17/,2014-06-16,Voorpagina,False,,,,
41,Hot in the City,https://www.volkskrant.nl/nieuws-achtergrond/hot-in-the-city~b8305479/,2013-11-25,Voorpagina,False,,,,
42,Temperatuur loopt maandag op tot bijna 35 graden,https://www.volkskrant.nl/nieuws-achtergrond/temperatuur-loopt-maandag-op-tot-bijna-35-graden~b5392aa5/,2013-07-20,Voorpagina,False,,,,
43,Hittestress,https://www.volkskrant.nl/nieuws-achtergrond/hittestress~bd8bd8af/,2013-06-18,Voorpagina,False,,,,
44,Gaat het vlees op het vuur vanavond? Hier enkele belangrijke barbecuetips,https://www.volkskrant.nl/nieuws-achtergrond/gaat-het-vlees-op-het-vuur-vanavond-hier-enkele-belangrijke-barbecuetips~bf047fd3/,2013-06-18,Voorpagina,False,,,,
45,"Waarschuwing voor extreme hitte op woensdag, aanval op warmterecord",https://www.volkskrant.nl/nieuws-achtergrond/waarschuwing-voor-extreme-hitte-op-woensdag-aanval-op-warmterecord~b7d4157b/,2013-06-17,Voorpagina,False,,,,
46,'4D-gevel' brengt voetbalvelden die stroom opwekken in zicht,https://www.volkskrant.nl/nieuws-achtergrond/4d-gevel-brengt-voetbalvelden-die-stroom-opwekken-in-zicht~b986165a/,2012-11-07,Voorpagina,False,,,,
47,Hoe warm het was en hoe significant,https://www.volkskrant.nl/nieuws-achtergrond/hoe-warm-het-was-en-hoe-significant~b972561a/,2012-11-02,Voorpagina,False,,,,
48,Steeds vaker hittegolven (en vooral in de stad),https://www.volkskrant.nl/nieuws-achtergrond/steeds-vaker-hittegolven-en-vooral-in-de-stad~bf60c282/,2011-07-12,Voorpagina,False,,,,
49,Help! Wat is het heet in de stad!,https://www.volkskrant.nl/nieuws-achtergrond/help-wat-is-het-heet-in-de-stad~b541859d/,2011-07-11,Voorpagina,False,,,,
50,Lang leve de wijndrinker,https://www.volkskrant.nl/nieuws-achtergrond/lang-leve-de-wijndrinker~b934b329/,2008-12-19,Voorpagina,False,,,,
51,'Opwarming eist in Nederland honderden levens',https://www.volkskrant.nl/nieuws-achtergrond/opwarming-eist-in-nederland-honderden-levens~b027ad536/,2008-09-17,Nieuws & Achtergrond,False,,,,
52,'Opwarming zal in Nederland honderden levens eisen',https://www.volkskrant.nl/nieuws-achtergrond/opwarming-zal-in-nederland-honderden-levens-eisen~bb8f2dc1/,2008-09-17,Voorpagina,False,,,,
53,Brand blussen is risicofactor hartaanvallen,https://www.volkskrant.nl/wetenschap-gezondheid/brand-blussen-is-risicofactor-hartaanvallen~b6e3526c/,2007-03-30,Voorpagina,False,,,,
54,Loopt die koe niet in de wei?,https://www.volkskrant.nl/home/loopt-die-koe-niet-in-de-wei~bfb2de06/,2003-09-28,Voorpagina,False,,,,
55,"Taylor Swift verzet concert in Rio de Janeiro, na dood 23-jarige fan door hitte",https://www.volkskrant.nl/buitenland/taylor-swift-verzet-concert-in-rio-de-janeiro-na-dood-23-jarige-fan-door-hitte~bfffdcb3/,2023-11-19,Buitenland,False,,,,
56,De klimaatroman ‘Het ministerie voor de toekomst’ inspireert met zijn hoopvolle blik zelfs wetenschappers,https://www.volkskrant.nl/wetenschap/de-klimaatroman-het-ministerie-voor-de-toekomst-inspireert-met-zijn-hoopvolle-blik-zelfs-wetenschappers~bd6b10fa/,2023-11-17,Wetenschap,False,,,,
57,Het weerbericht voor woensdag 6 september: mogelijk een hittegolf,https://www.volkskrant.nl/nieuws-achtergrond/het-weerbericht-voor-woensdag-6-september-mogelijk-een-hittegolf~b92dae94/,2023-09-05,Nieuws & Achtergrond,False,,,,
58,"September start bijzonder zomers, misschien zelfs tropisch",https://www.volkskrant.nl/nieuws-achtergrond/september-start-bijzonder-zomers-misschien-zelfs-tropisch~bc42f201/,2023-09-03,Nieuws & Achtergrond,False,,,,
59,"Franse jeugd heeft ‘te veel vakantiedagen’, dus pleit Macron voor kortere zomervakantie",https://www.volkskrant.nl/nieuws-achtergrond/franse-jeugd-heeft-te-veel-vakantiedagen-dus-pleit-macron-voor-kortere-zomervakantie~b80764a8/,2023-08-24,Nieuws & Achtergrond,False,,,,
60,Rampspoed op de Jamboree? De scouts maakten er gewoon wat van,https://www.volkskrant.nl/nieuws-achtergrond/rampspoed-op-de-jamboree-de-scouts-maakten-er-gewoon-wat-van~b3cc11e7/,2023-08-13,Nieuws & Achtergrond,False,,,,
61,Tegen de dijken van de toekomst golft de bloemenzee: Nijmeegse wetenschappers boeken veelbelovende resultaten,https://www.volkskrant.nl/nieuws-achtergrond/tegen-de-dijken-van-de-toekomst-golft-de-bloemenzee-nijmeegse-wetenschappers-boeken-veelbelovende-resultaten~be65e3c3/,2023-08-04,Nieuws & Achtergrond,False,,,,
62,"Heet, heter, heetst: wat de verzengende hitte in Zuid-Europa in de toekomst voor onze vakantie betekent",https://www.volkskrant.nl/nieuws-achtergrond/heet-heter-heetst-wat-de-verzengende-hitte-in-zuid-europa-in-de-toekomst-voor-onze-vakantie-betekent~b96e92f7/,2023-07-29,Voorpagina,False,,,,
63,Noodmaatregelen in Zuid-Europa tegen extreme hittegolf,https://www.volkskrant.nl/nieuws-achtergrond/noodmaatregelen-in-zuid-europa-tegen-extreme-hittegolf~b693ba0f/,2023-07-14,Nieuws & Achtergrond,False,,,,
64,"Extreme hitte verwacht in Zuid-Europa: weeralarm, gezondheidsrisico’s en vrees voor bosbranden",https://www.volkskrant.nl/nieuws-achtergrond/extreme-hitte-verwacht-in-zuid-europa-weeralarm-gezondheidsrisico-s-en-vrees-voor-bosbranden~bc5d4d93/,2023-07-12,Nieuws & Achtergrond,False,,,,
65,"Was het klimaatverandering, of is het toeval? Deze onderzoekers rekenen het na",https://www.volkskrant.nl/nieuws-achtergrond/was-het-klimaatverandering-of-is-het-toeval-deze-onderzoekers-rekenen-het-na~b96690bb/,2023-07-11,Voorpagina,False,,,,
